"LBXATG.Code.or.Value","LBXATG.Value.Description","LBXATG.Count","LBXATG.Cumulative","LBXATG.Skip.to.Item"
"0.6 to 1671.9","Range of Values",2328,2328,NA
".","Missing",216,2544,NA
