"WBXP082.Code.or.Value","WBXP082.Value.Description","WBXP082.Count","WBXP082.Cumulative","WBXP082.Skip.to.Item"
"-170.3394 to 173.781","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
