"DXASPND0.Code.or.Value","DXASPND0.Value.Description","DXASPND0.Count","DXASPND0.Cumulative","DXASPND0.Skip.to.Item"
"35.5877 to 52.7272","Range of Values",6716,6716,NA
".","Missing",1018,7734,NA
