"RFXT071.Code.or.Value","RFXT071.Value.Description","RFXT071.Count","RFXT071.Cumulative","RFXT071.Skip.to.Item"
"610 to 619","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
