"LBX099.Code.or.Value","LBX099.Value.Description","LBX099.Count","LBX099.Cumulative","LBX099.Skip.to.Item"
"0.0006 to 2.3149","Range of Values",1877,1877,NA
".","Missing",408,2285,NA
