"PUD074.Code.or.Value","PUD074.Value.Description","PUD074.Count","PUD074.Cumulative","PUD074.Skip.to.Item"
"1","One time only",413,413,NA
"2","Two or more times",52,465,NA
".","Missing",9657,10122,NA
