"LBX170.Code.or.Value","LBX170.Value.Description","LBX170.Count","LBX170.Cumulative","LBX170.Skip.to.Item"
"0.0004 to 1.9736","Range of Values",1888,1888,NA
".","Missing",397,2285,NA
