"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",2466,2466,NA
"1","Below lower detection limit",0,2466,NA
".","Missing",85,2551,NA
