"DRD370UQ.Code.or.Value","DRD370UQ.Value.Description","DRD370UQ.Count","DRD370UQ.Cumulative","DRD370UQ.Skip.to.Item"
"1 to 30","Range of Values",644,644,NA
".","Missing",9609,10253,NA
