"WHQ510P.Code.or.Value","WHQ510P.Value.Description","WHQ510P.Count","WHQ510P.Cumulative","WHQ510P.Skip.to.Item"
"26","I want to be skinny / I don't want to be fat / because I'm overweight or obese",35,35,NA
".","Missing",1433,1468,NA
