"DRD370F.Code.or.Value","DRD370F.Value.Description","DRD370F.Count","DRD370F.Cumulative","DRD370F.Skip.to.Item"
"1","Yes",469,469,""
"2","No",5102,5571,"DRD370G"
".","Missing",4379,9950,""
