"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"20 to 5210","Range of Values",6488,6488,NA
".","Missing",502,6990,NA
