"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 73.856","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
