"LB2EPP.Code.or.Value","LB2EPP.Value.Description","LB2EPP.Count","LB2EPP.Cumulative","LB2EPP.Skip.to.Item"
"17 to 312","Range of Values",550,550,NA
".","Missing",1,551,NA
