"WBXP005.Code.or.Value","WBXP005.Value.Description","WBXP005.Count","WBXP005.Cumulative","WBXP005.Skip.to.Item"
"-69.1898 to 160.8446","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
