"DXDRATOT.Code.or.Value","DXDRATOT.Value.Description","DXDRATOT.Count","DXDRATOT.Cumulative","DXDRATOT.Skip.to.Item"
"987.5 to 12749.5","Range of Values",4668,4668,NA
".","Missing",1024,5692,NA
