"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"7544.8236215 to 319733.44187","Range of Values",3374,3374,NA
".","Missing",41,3415,NA
