"DS2DSCNT.Code.or.Value","DS2DSCNT.Value.Description","DS2DSCNT.Count","DS2DSCNT.Cumulative","DS2DSCNT.Skip.to.Item"
"0 to 23","Range of Values",7838,7838,NA
".","Missing",1924,9762,NA
