"TYXP188.Code.or.Value","TYXP188.Value.Description","TYXP188.Count","TYXP188.Cumulative","TYXP188.Skip.to.Item"
"-295 to 3","Range of Values",1413,1413,NA
".","Missing",7056,8469,NA
