"WHD100S.Code.or.Value","WHD100S.Value.Description","WHD100S.Count","WHD100S.Cumulative","WHD100S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",138,138,NA
".","Missing",6037,6175,NA
