"LBDB12SI.Code.or.Value","LBDB12SI.Value.Description","LBDB12SI.Count","LBDB12SI.Cumulative","LBDB12SI.Skip.to.Item"
"39.9 to 7896.6","Range of Values",4877,4877,NA
".","Missing",442,5319,NA
