"DR2IALCO.Code.or.Value","DR2IALCO.Value.Description","DR2IALCO.Count","DR2IALCO.Cumulative","DR2IALCO.Skip.to.Item"
"0 to 252.7","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
