"LBD099LC.Code.or.Value","LBD099LC.Value.Description","LBD099LC.Count","LBD099LC.Cumulative","LBD099LC.Skip.to.Item"
"0","At or above the detection limit",1876,1876,NA
"1","Below lower detection limit",1,1877,NA
".","Missing",408,2285,NA
