"LBC118LA.Code.or.Value","LBC118LA.Value.Description","LBC118LA.Count","LBC118LA.Cumulative","LBC118LA.Skip.to.Item"
"0.97 to 90.43","Range of Values",247,247,NA
".","Missing",0,247,NA
