"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"14.14 to 840.68","Range of Values",5976,5976,NA
".","Missing",573,6549,NA
