"KIQ201.Code.or.Value","KIQ201.Value.Description","KIQ201.Count","KIQ201.Cumulative","KIQ201.Skip.to.Item"
"1","Yes",95,95,NA
"2","No",1815,1910,NA
"7","Refused",0,1910,NA
"9","Don't know",4,1914,NA
".","Missing",62,1976,NA
