"RHQ572.Code.or.Value","RHQ572.Value.Description","RHQ572.Count","RHQ572.Cumulative","RHQ572.Skip.to.Item"
"20 to 70","Range of Values",84,84,NA
"777","Refused",0,84,NA
"999","Don't know",5,89,NA
".","Missing",3508,3597,NA
