"DS2TFIBE.Code.or.Value","DS2TFIBE.Value.Description","DS2TFIBE.Count","DS2TFIBE.Cumulative","DS2TFIBE.Skip.to.Item"
"0.021 to 27","Range of Values",124,124,NA
".","Missing",9420,9544,NA
