"AUXRR241.Code.or.Value","AUXRR241.Value.Description","AUXRR241.Count","AUXRR241.Cumulative","AUXRR241.Skip.to.Item"
"-25 to 76","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
