"WTSPH42.Code.or.Value","WTSPH42.Value.Description","WTSPH42.Count","WTSPH42.Cumulative","WTSPH42.Skip.to.Item"
"0.0000000 to 785193.4511400","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
