"CBQ738i.Code.or.Value","CBQ738i.Value.Description","CBQ738i.Count","CBQ738i.Cumulative","CBQ738i.Skip.to.Item"
"9","To compare which brand/food is better/healthier",837,837,NA
".","Missing",1208,2045,NA
