"DR2CCMNM.Code.or.Value","DR2CCMNM.Value.Description","DR2CCMNM.Count","DR2CCMNM.Cumulative","DR2CCMNM.Skip.to.Item"
"0 to 14","Range of Values",100680,100680,NA
".","Missing",0,100680,NA
