"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",438,438,NA
"2","No",8164,8602,NA
"7","Refused",2,8604,NA
"9","Don't know",25,8629,NA
".","Missing",678,9307,NA
