"DXXVFATM.Code.or.Value","DXXVFATM.Value.Description","DXXVFATM.Count","DXXVFATM.Cumulative","DXXVFATM.Skip.to.Item"
"3.97 to 1918.66","Range of Values",4693,4693,NA
".","Missing",999,5692,NA
