"WTSVOC4Y.Code.or.Value","WTSVOC4Y.Value.Description","WTSVOC4Y.Count","WTSVOC4Y.Cumulative","WTSVOC4Y.Skip.to.Item"
"2836.3452371 to 306407.42974","Range of Values",669,669,NA
"0","Non-Respondent",182,851,NA
".","Missing",0,851,NA
