"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.034 to 16","Range of Values",3089,3089,NA
".","Missing",305,3394,NA
