"CBD110.Code.or.Value","CBD110.Value.Description","CBD110.Count","CBD110.Cumulative","CBD110.Skip.to.Item"
"0 to 2000","Range of Values",9979,9979,NA
"777777","Refused",10,9989,NA
"999999","Don't know",63,10052,NA
".","Missing",123,10175,NA
