"URDBUPLC.Code.or.Value","URDBUPLC.Value.Description","URDBUPLC.Count","URDBUPLC.Cumulative","URDBUPLC.Skip.to.Item"
"0","At or above the detection limit",1203,1203,NA
"1","Below lower detection limit",1401,2604,NA
".","Missing",114,2718,NA
