"URXDEE.Code.or.Value","URXDEE.Value.Description","URXDEE.Count","URXDEE.Cumulative","URXDEE.Skip.to.Item"
"0.01 to 11","Range of Values",1977,1977,NA
".","Missing",148,2125,NA
