"BPQ150D.Code.or.Value","BPQ150D.Value.Description","BPQ150D.Count","BPQ150D.Cumulative","BPQ150D.Skip.to.Item"
"1","Yes",96,96,NA
"2","No",7735,7831,NA
".","Missing",2422,10253,NA
