"DS2TVB12.Code.or.Value","DS2TVB12.Value.Description","DS2TVB12.Count","DS2TVB12.Cumulative","DS2TVB12.Skip.to.Item"
"0.3 to 60000","Range of Values",1562,1562,NA
".","Missing",7982,9544,NA
