"DXXSAY.Code.or.Value","DXXSAY.Value.Description","DXXSAY.Count","DXXSAY.Cumulative","DXXSAY.Skip.to.Item"
"77.6 to 295.6","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
