"WHD080M.Code.or.Value","WHD080M.Value.Description","WHD080M.Count","WHD080M.Cumulative","WHD080M.Skip.to.Item"
"34","Drank a lot of water",1169,1169,NA
".","Missing",4970,6139,NA
