"URDCOTLC.Code.or.Value","URDCOTLC.Value.Description","URDCOTLC.Count","URDCOTLC.Cumulative","URDCOTLC.Skip.to.Item"
"0","At or above detection limit",2513,2513,NA
"1","Below lower detection limit",59,2572,NA
".","Missing",183,2755,NA
