"OSQ090g.Code.or.Value","OSQ090g.Value.Description","OSQ090g.Count","OSQ090g.Cumulative","OSQ090g.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",2,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",3811,3815,NA
