"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",30,30,NA
"2","Years",182,212,NA
"7","Refused",0,212,NA
"9","Don't know",0,212,NA
".","Missing",9454,9666,NA
