"TYXP199.Code.or.Value","TYXP199.Value.Description","TYXP199.Count","TYXP199.Cumulative","TYXP199.Skip.to.Item"
"-298 to -11","Range of Values",845,845,NA
".","Missing",7624,8469,NA
