"URDAAMLC.Code.or.Value","URDAAMLC.Value.Description","URDAAMLC.Count","URDAAMLC.Cumulative","URDAAMLC.Skip.to.Item"
"0","At or above the detection limit",3012,3012,NA
"1","Below lower detection limit",3,3015,NA
".","Missing",264,3279,NA
