"DS1TVB1.Code.or.Value","DS1TVB1.Value.Description","DS1TVB1.Count","DS1TVB1.Cumulative","DS1TVB1.Skip.to.Item"
"0 to 209","Range of Values",1647,1647,NA
".","Missing",8115,9762,NA
