"PEASCST1.Code.or.Value","PEASCST1.Value.Description","PEASCST1.Count","PEASCST1.Cumulative","PEASCST1.Skip.to.Item"
"1","Complete",10006,10006,NA
"2","Partial",60,10066,NA
"3","Not done",411,10477,NA
".","Missing",0,10477,NA
