"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"617.86932978 to 341097.23732","Range of Values",9883,9883,NA
".","Missing",594,10477,NA
