"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.712 to 0.239","Range of Values",2979,2979,NA
".","Missing",729,3708,NA
