"AUXRR147.Code.or.Value","AUXRR147.Value.Description","AUXRR147.Count","AUXRR147.Cumulative","AUXRR147.Skip.to.Item"
"-44 to 58","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
