"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 3215","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
