"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"664.3 to 10793.8","Range of Values",5425,5425,NA
".","Missing",608,6033,NA
