"DR2TNUMF.Code.or.Value","DR2TNUMF.Value.Description","DR2TNUMF.Count","DR2TNUMF.Cumulative","DR2TNUMF.Skip.to.Item"
"1 to 48","Range of Values",7027,7027,NA
".","Missing",2517,9544,NA
