"WTSAU4YR.Code.or.Value","WTSAU4YR.Value.Description","WTSAU4YR.Count","WTSAU4YR.Cumulative","WTSAU4YR.Skip.to.Item"
"1717.538914 to 212637.94244","Range of Values",1914,1914,NA
".","Missing",132,2046,NA
