"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"667.8 to 9436.7","Range of Values",5090,5090,NA
".","Missing",690,5780,NA
