"WBXA025.Code.or.Value","WBXA025.Value.Description","WBXA025.Count","WBXA025.Cumulative","WBXA025.Skip.to.Item"
"-3.7934 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
