"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"45 to 80","Range of Values",9,9,NA
"666","No response",1,10,NA
"888","Could not obtain",1,11,NA
".","Missing",3120,3131,NA
