"WBXA027.Code.or.Value","WBXA027.Value.Description","WBXA027.Count","WBXA027.Cumulative","WBXA027.Skip.to.Item"
"-7.3658 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
