"DXXPT14Y.Code.or.Value","DXXPT14Y.Value.Description","DXXPT14Y.Count","DXXPT14Y.Cumulative","DXXPT14Y.Skip.to.Item"
"173.3 to 401.3","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
