"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-55 to 162","Range of Values",120623,120623,NA
".","Missing",718,121341,NA
