"SMQ666B.Code.or.Value","SMQ666B.Value.Description","SMQ666B.Count","SMQ666B.Cumulative","SMQ666B.Skip.to.Item"
"1","Regulars",2,2,NA
"2","Lights",0,2,NA
"3","Ultralights",2,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",6754,6758,NA
